"Name Of Restaurant","City","Country Code","Day of Week","Start Time","End Time"
"1-abercrombie-lane-sydney","Sydney","AU","0","0730","1530"
"1-abercrombie-lane-sydney","Sydney","AU","1","0730","1530"
"1-abercrombie-lane-sydney","Sydney","AU","2","0730","1530"
"1-abercrombie-lane-sydney","Sydney","AU","3","0730","1530"
"1-abercrombie-lane-sydney","Sydney","AU","4","0730","1530"
"1-chicken-rice-and-seafood-houston","Houston","US","0","1030","2030"
"1-chicken-rice-and-seafood-houston","Houston","US","1","1030","2030"
"1-chicken-rice-and-seafood-houston","Houston","US","2","1030","2030"
"1-chicken-rice-and-seafood-houston","Houston","US","3","1030","2030"
"1-chicken-rice-and-seafood-houston","Houston","US","4","1030","2030"
"1-chicken-rice-and-seafood-houston","Houston","US","5","1030","2000"
"1-chinese-kitchen-san-jose-2","San Jose","US","0","1100","2100"
"1-chinese-kitchen-san-jose-2","San Jose","US","2","1100","2100"
"1-chinese-kitchen-san-jose-2","San Jose","US","3","1100","2100"
"1-chinese-kitchen-san-jose-2","San Jose","US","4","1100","2100"
"1-chinese-kitchen-san-jose-2","San Jose","US","5","1100","2100"
"1-chinese-kitchen-san-jose-2","San Jose","US","6","1100","2100"
"10-custom-pizzeria-braddon","Braddon","AU","0","1130","1500"
"10-custom-pizzeria-braddon","Braddon","AU","0","1730","0000"
"10-custom-pizzeria-braddon","Braddon","AU","1","1130","1500"
"10-custom-pizzeria-braddon","Braddon","AU","1","1730","0000"
"10-custom-pizzeria-braddon","Braddon","AU","2","1130","1500"
"10-custom-pizzeria-braddon","Braddon","AU","2","1730","0000"
"10-custom-pizzeria-braddon","Braddon","AU","3","1130","1500"
"10-custom-pizzeria-braddon","Braddon","AU","3","1730","0000"
"10-custom-pizzeria-braddon","Braddon","AU","4","1130","1500"
"10-custom-pizzeria-braddon","Braddon","AU","4","1730","0000"
"10-custom-pizzeria-braddon","Braddon","AU","5","1130","1500"
"10-custom-pizzeria-braddon","Braddon","AU","5","1730","0000"
"10-custom-pizzeria-braddon","Braddon","AU","6","1130","1500"
"10-custom-pizzeria-braddon","Braddon","AU","6","1730","0000"
"10-greek-street-london","London","GB","0","1200","2330"
"10-greek-street-london","London","GB","1","1200","2330"
"10-greek-street-london","London","GB","2","1200","2330"
"10-greek-street-london","London","GB","3","1200","2330"
"10-greek-street-london","London","GB","4","1200","2330"
"10-greek-street-london","London","GB","5","1200","2330"
"10-greek-street-london","London","GB","6","1730","2300"
"100-de-agave-denver","Denver","US","0","1100","2200"
"100-de-agave-denver","Denver","US","1","1100","2200"
"100-de-agave-denver","Denver","US","2","1100","2200"
"100-de-agave-denver","Denver","US","3","1100","2200"
"100-de-agave-denver","Denver","US","4","1100","2300"
"100-de-agave-denver","Denver","US","5","1100","2300"
"100-de-agave-denver","Denver","US","6","1100","2200"
"100-hoxton-london","London","GB","1","1100","0000"
"100-hoxton-london","London","GB","2","1100","0000"
"100-hoxton-london","London","GB","3","1100","0000"
"100-hoxton-london","London","GB","4","1100","0000"
"100-hoxton-london","London","GB","5","1100","0000"
"100-hoxton-london","London","GB","6","1100","0000"
"11-inch-pizza-melbourne","Melbourne","AU","0","1100","2130"
"11-inch-pizza-melbourne","Melbourne","AU","1","1100","2130"
"11-inch-pizza-melbourne","Melbourne","AU","2","1100","2130"
"11-inch-pizza-melbourne","Melbourne","AU","3","1100","2130"
"11-inch-pizza-melbourne","Melbourne","AU","4","1100","2130"
"11-inch-pizza-melbourne","Melbourne","AU","5","1630","2130"
"11-inch-pizza-melbourne","Melbourne","AU","6","1630","2130"
"111-by-nico-glasgow-2","Glasgow","GB","1","1200","1430"
"111-by-nico-glasgow-2","Glasgow","GB","1","1700","2200"
"111-by-nico-glasgow-2","Glasgow","GB","2","1200","1430"
"111-by-nico-glasgow-2","Glasgow","GB","2","1700","2200"
"111-by-nico-glasgow-2","Glasgow","GB","3","1200","1430"
"111-by-nico-glasgow-2","Glasgow","GB","3","1700","2200"
"111-by-nico-glasgow-2","Glasgow","GB","4","1200","1430"
"111-by-nico-glasgow-2","Glasgow","GB","4","1700","2200"
"111-by-nico-glasgow-2","Glasgow","GB","5","1200","2200"
"111-by-nico-glasgow-2","Glasgow","GB","6","1200","2100"
"127-bar-and-bistro-brisbane","Brisbane","AU","0","0630","2100"
"127-bar-and-bistro-brisbane","Brisbane","AU","1","0630","2100"
"127-bar-and-bistro-brisbane","Brisbane","AU","2","0630","2100"
"127-bar-and-bistro-brisbane","Brisbane","AU","3","0630","2100"
"127-bar-and-bistro-brisbane","Brisbane","AU","4","0630","2100"
"127-bar-and-bistro-brisbane","Brisbane","AU","5","0700","1100"
"127-bar-and-bistro-brisbane","Brisbane","AU","5","1500","2100"
"127-bar-and-bistro-brisbane","Brisbane","AU","6","0700","1100"
"13-north-grille-phoenix","Phoenix","US","0","1100","2100"
"13-north-grille-phoenix","Phoenix","US","1","1100","2100"
"13-north-grille-phoenix","Phoenix","US","2","1100","2100"
"13-north-grille-phoenix","Phoenix","US","3","1100","2100"
"13-north-grille-phoenix","Phoenix","US","4","1100","2200"
"13-north-grille-phoenix","Phoenix","US","5","0830","2200"
"13-north-grille-phoenix","Phoenix","US","6","0830","2100"
"13th-note-glasgow","Glasgow","GB","0","1200","0000"
"13th-note-glasgow","Glasgow","GB","1","1200","0000"
"13th-note-glasgow","Glasgow","GB","2","1200","0000"
"13th-note-glasgow","Glasgow","GB","3","1200","0000"
"13th-note-glasgow","Glasgow","GB","4","1200","0000"
"13th-note-glasgow","Glasgow","GB","5","1200","0000"
"13th-note-glasgow","Glasgow","GB","6","1200","0000"
"1428-haight-patio-cafe-and-crepery-san-francisco","San Francisco","US","0","0800","2200"
"1428-haight-patio-cafe-and-crepery-san-francisco","San Francisco","US","1","0800","2200"
"1428-haight-patio-cafe-and-crepery-san-francisco","San Francisco","US","2","0800","2200"
"1428-haight-patio-cafe-and-crepery-san-francisco","San Francisco","US","3","0800","2200"
"1428-haight-patio-cafe-and-crepery-san-francisco","San Francisco","US","4","0800","2200"
"1428-haight-patio-cafe-and-crepery-san-francisco","San Francisco","US","5","0800","2200"
"1428-haight-patio-cafe-and-crepery-san-francisco","San Francisco","US","6","0800","2200"
"163-vietnamese-sandwiches-and-bubble-tea-boston","Boston","US","0","0730","1930"
"163-vietnamese-sandwiches-and-bubble-tea-boston","Boston","US","1","0730","1930"
"163-vietnamese-sandwiches-and-bubble-tea-boston","Boston","US","2","0730","1930"
"163-vietnamese-sandwiches-and-bubble-tea-boston","Boston","US","3","0730","1930"
"163-vietnamese-sandwiches-and-bubble-tea-boston","Boston","US","4","0730","1930"
"163-vietnamese-sandwiches-and-bubble-tea-boston","Boston","US","5","0730","1930"
"163-vietnamese-sandwiches-and-bubble-tea-boston","Boston","US","6","0730","1930"
"1760-san-francisco","San Francisco","US","0","1700","2200"
"1760-san-francisco","San Francisco","US","1","1700","2200"
"1760-san-francisco","San Francisco","US","2","1700","2200"
"1760-san-francisco","San Francisco","US","3","1700","2200"
"1760-san-francisco","San Francisco","US","4","1700","2300"
"1760-san-francisco","San Francisco","US","5","1100","1430"
"1760-san-francisco","San Francisco","US","5","1700","2300"
"1760-san-francisco","San Francisco","US","6","1100","1430"
"1760-san-francisco","San Francisco","US","6","1700","2200"
"1806-melbourne","Melbourne","AU","0","1700","0100"
"1806-melbourne","Melbourne","AU","1","1700","0100"
"1806-melbourne","Melbourne","AU","2","1700","0100"
"1806-melbourne","Melbourne","AU","3","1700","0100"
"1806-melbourne","Melbourne","AU","4","1600","0100"
"1806-melbourne","Melbourne","AU","5","1700","0300"
"1806-melbourne","Melbourne","AU","6","1800","0100"
