"news_desk","Unique Words","Total Words","Complexity"
"Sunday Review","172","225","0.7644444444444445"
"Homepage","19","20","0.95"
"NYT Now","694","4904","0.14151712887438825"
"T Magazine","2722","7313","0.37221386571858334"
"Business Day / Entrepreneurship","136","210","0.6476190476190476"
"Fashion","211","295","0.7152542372881356"
"The Upshot","707","1365","0.517948717948718"
"U.S. / Election 2016","316","1880","0.16808510638297872"
"Crosswords & Games","25","33","0.7575757575757576"
"Fashion & Style / Women's Runway","315","1111","0.28352835283528355"
"Metro","16767","112910","0.14849880435745283"
"Obits","425","686","0.619533527696793"
"Opinion / Sunday Review","214","297","0.7205387205387206"
"Fashion & Style / Beauty","15","16","0.9375"
"U.S. / 2016 Elections","93","115","0.808695652173913"
"SundayBusiness","3985","11351","0.3510703902739847"
"Arts / International Arts","80","96","0.8333333333333334"
"Times Insider","82","105","0.780952380952381"
"Sports / Horse Racing","18","19","0.9473684210526315"
"Editorial","7939","35498","0.2236464026142318"
"Business Day / Energy & Environment ","174","303","0.5742574257425742"
"Universal","590","886","0.6659142212189616"
"Universal / Korean","14","14","1.0"
"OpEd","8347","34599","0.24124974710251743"
"Multimedia/Photos","746","1369","0.5449233016800584"
"Weekend","10800","43413","0.248773408886739"
"Movies / Awards Season","206","314","0.6560509554140127"
"TLiving","261","388","0.6726804123711341"
"Business","20075","183544","0.10937431896439001"
"Arts","274","391","0.7007672634271099"
"Fashion & Style / Couture Runway","1","21","0.047619047619047616"
"Science / Space & Cosmos","295","531","0.5555555555555556"
"Science","5314","18059","0.29425771083670194"
"","109","336","0.3244047619047619"
"Business Day / Media","953","1837","0.5187806205770278"
"Arts / Dance","169","269","0.6282527881040892"
"Theater","631","1359","0.46431199411331864"
"Food","907","1885","0.48116710875331564"
"Sports / Skiing","39","55","0.7090909090909091"
"Magazine","5415","16086","0.33662812383439017"
"Business Day","1776","4074","0.43593519882179677"
"U.S. / Politics","2505","9427","0.2657261058661292"
"Technology / Personal Tech","681","1407","0.4840085287846482"
"Society","3937","22183","0.17747824910967858"
"Books","32","38","0.8421052631578947"
"Styles","8339","29778","0.28003895493317216"
"Booming","16","16","1.0"
"Media","75","87","0.8620689655172413"
"Learning","17","36","0.4722222222222222"
"Science / Environment","84","106","0.7924528301886793"
"Sports / Tennis","191","305","0.6262295081967213"
"World / Middle East","2237","7387","0.30282929470691755"
"Sunday Styles","52","60","0.8666666666666667"
"World / Asia Pacific","2387","7149","0.3338928521471535"
"Fashion & Style / Street","10","10","1.0"
"Washington","76","96","0.7916666666666666"
"NODESK","416","627","0.6634768740031898"
"Insider","1295","3112","0.4161311053984576"
"Arts / Music","353","541","0.6524953789279113"
"National","16851","151519","0.11121377517011068"
"Dining","4219","12624","0.33420468948035487"
"Sports / Baseball","442","848","0.5212264150943396"
"TDesign","270","362","0.7458563535911602"
"Health","564","1045","0.539712918660287"
"N.Y. / Region / New York Today","32","55","0.5818181818181818"
"Upshot","3422","11185","0.3059454626732231"
"NYTNow","285","4852","0.05873866446826051"
"Universal / América","86","102","0.8431372549019608"
"TStyle","3823","10370","0.3686595949855352"
"Business Day / International Business","641","1260","0.5087301587301587"
"Sports / World Cup","47","59","0.7966101694915254"
"World / Australia","115","172","0.6686046511627907"
"Fashion & Style / Men’s Style","440","721","0.6102635228848821"
"World / Africa","753","1580","0.47658227848101264"
"None","303","440","0.6886363636363636"
"Sports / Hockey","113","165","0.6848484848484848"
"Automobiles","167","207","0.8067632850241546"
"Arts&Leisure","7258","23023","0.31524996742388045"
"Business Day / Economy","243","420","0.5785714285714286"
"Home","984","1723","0.57109692396982"
"Arts / Television","377","649","0.5808936825885979"
"Obituaries","296","422","0.7014218009478673"
"TCulture","142","188","0.7553191489361702"
"Business Day / Mutual Funds","13","13","1.0"
"RealEstate","3554","13689","0.25962451603477243"
"Technology","569","1008","0.564484126984127"
"World / Europe","3027","10644","0.28438556933483655"
"Travel","5768","22399","0.25751149604893075"
"Crosswords & Games / Premium","11","54","0.2037037037037037"
"Style","498","852","0.5845070422535211"
"Automobiles / Automobiles","25","28","0.8928571428571429"
"Arts / Art & Design","422","724","0.5828729281767956"
"Sports / Auto Racing","19","20","0.95"
"Sports / Rugby","20","21","0.9523809523809523"
"T Magazine / Fashion & Beauty","17","18","0.9444444444444444"
"Politics","146","251","0.5816733067729084"
"U.S.","5132","21470","0.23903120633442013"
"Sports","21111","227502","0.09279478861724293"
"NewsDesk","58","163","0.3558282208588957"
"Sports / Olympics","21","24","0.875"
"Books / Book Review","80","99","0.8080808080808081"
"Home & Garden","4","8","0.5"
"Sports / Pro Football","541","1262","0.4286846275752773"
"World / Americas","835","1769","0.47201808931599776"
"Fashion & Style / Weddings","487","814","0.5982800982800983"
"Arts / Arts","93","125","0.744"
"Sports / Golf","50","64","0.78125"
"Culture","18630","93052","0.20021063491381164"
"TTravel","15","17","0.8823529411764706"
"EdLife","676","1135","0.5955947136563877"
"Sports / International Sports","38","40","0.95"
"Summary","71","6065","0.011706512778235778"
"Books / Sunday Book Review","285","528","0.5397727272727273"
"Sports / College Football","155","256","0.60546875"
"Real Estate","1033","3539","0.29189036450974853"
"BookReview","6645","21148","0.31421411008133154"
"N.Y. / Region","3666","12028","0.3047888260724975"
"Fashion & Style / Men's Runway","5","166","0.030120481927710843"
"World","1531","3543","0.43211967259384704"
"Theater / Tony Awards","82","114","0.7192982456140351"
